sqrt(2) = [ 1; (2) ]
sqrt(3) = [ 1; (1, 2) ]
sqrt(5) = [ 2; (4) ]
sqrt(6) = [ 2; (2, 4) ]
sqrt(7) = [ 2; (1, 1, 1, 4) ]
sqrt(8) = [ 2; (1, 4) ]
sqrt(10) = [ 3; (6) ]
sqrt(11) = [ 3; (3, 6) ]
sqrt(12) = [ 3; (2, 6) ]
sqrt(13) = [ 3; (1, 1, 1, 1, 6) ]
sqrt(14) = [ 3; (1, 2, 1, 6) ]
sqrt(15) = [ 3; (1, 6) ]
sqrt(17) = [ 4; (8) ]
sqrt(18) = [ 4; (4, 8) ]
sqrt(19) = [ 4; (2, 1, 3, 1, 2, 8) ]
sqrt(20) = [ 4; (2, 8) ]
sqrt(21) = [ 4; (1, 1, 2, 1, 1, 8) ]
sqrt(22) = [ 4; (1, 2, 4, 2, 1, 8) ]
sqrt(23) = [ 4; (1, 3, 1, 8) ]
sqrt(24) = [ 4; (1, 8) ]
sqrt(26) = [ 5; (10) ]
sqrt(27) = [ 5; (5, 10) ]
sqrt(28) = [ 5; (3, 2, 3, 10) ]
sqrt(29) = [ 5; (2, 1, 1, 2, 10) ]
sqrt(30) = [ 5; (2, 10) ]
sqrt(31) = [ 5; (1, 1, 3, 5, 3, 1, 1, 10) ]
sqrt(32) = [ 5; (1, 1, 1, 10) ]
sqrt(33) = [ 5; (1, 2, 1, 10) ]
sqrt(34) = [ 5; (1, 4, 1, 10) ]
sqrt(35) = [ 5; (1, 10) ]
sqrt(37) = [ 6; (12) ]
sqrt(38) = [ 6; (6, 12) ]
sqrt(39) = [ 6; (4, 12) ]
sqrt(40) = [ 6; (3, 12) ]
sqrt(41) = [ 6; (2, 2, 12) ]
sqrt(42) = [ 6; (2, 12) ]
sqrt(43) = [ 6; (1, 1, 3, 1, 5, 1, 3, 1, 1, 12) ]
sqrt(44) = [ 6; (1, 1, 1, 2, 1, 1, 1, 12) ]
sqrt(45) = [ 6; (1, 2, 2, 2, 1, 12) ]
sqrt(46) = [ 6; (1, 3, 1, 1, 2, 6, 2, 1, 1, 3, 1, 12) ]
sqrt(47) = [ 6; (1, 5, 1, 12) ]
sqrt(48) = [ 6; (1, 12) ]
sqrt(50) = [ 7; (14) ]
sqrt(51) = [ 7; (7, 14) ]
sqrt(52) = [ 7; (4, 1, 2, 1, 4, 14) ]
